x,y,z
0.1237152,-0.5028078,-0.8554989
0.1237152,-0.5028078,-0.8554989
0.1237152,-0.5028078,-0.8554989
0.1237152,-0.5028078,-0.8554989
0.1237152,-0.5028078,-0.8554989
0.1028568,-0.476739,-0.8730062
0.1028568,-0.476739,-0.8730062
0.1028568,-0.476739,-0.8730062
0.1028568,-0.476739,-0.8730062
0.08979475,-0.3228547,-0.9421792
0.08979475,-0.3228547,-0.9421792
0.08979475,-0.3228547,-0.9421792
0.08979475,-0.3228547,-0.9421792
0.1586151,-0.2492055,-0.955373
0.1586151,-0.2492055,-0.955373
0.1586151,-0.2492055,-0.955373
0.1586151,-0.2492055,-0.955373
0.1760712,-0.2468109,-0.952934
0.1760712,-0.2468109,-0.952934
0.1760712,-0.2468109,-0.952934
0.1760712,-0.2468109,-0.952934
0.2600125,-0.2274744,-0.9384288
0.2600125,-0.2274744,-0.9384288
0.2600125,-0.2274744,-0.9384288
0.2600125,-0.2274744,-0.9384288
0.3370366,-0.2174481,-0.9160362
0.3370366,-0.2174481,-0.9160362
0.3370366,-0.2174481,-0.9160362
0.3370366,-0.2174481,-0.9160362
0.3370366,-0.2174481,-0.9160362
0.3313998,-0.2345567,-0.9138693
0.3313998,-0.2345567,-0.9138693
0.3313998,-0.2345567,-0.9138693
0.3313998,-0.2345567,-0.9138693
0.2238591,-0.2906532,-0.9302728
0.2238591,-0.2906532,-0.9302728
0.2238591,-0.2906532,-0.9302728
0.2238591,-0.2906532,-0.9302728
0.1145068,-0.3141708,-0.9424356
0.1145068,-0.3141708,-0.9424356
0.1145068,-0.3141708,-0.9424356
0.1145068,-0.3141708,-0.9424356
-0.01077597,-0.2612595,-0.9652085
-0.01077597,-0.2612595,-0.9652085
-0.01077597,-0.2612595,-0.9652085
-0.01077597,-0.2612595,-0.9652085
-0.08584902,-0.2375035,-0.9675857
-0.08584902,-0.2375035,-0.9675857
-0.08584902,-0.2375035,-0.9675857
-0.08584902,-0.2375035,-0.9675857
-0.08584902,-0.2375035,-0.9675857
-0.2270836,-0.1932469,-0.9545097
-0.2270836,-0.1932469,-0.9545097
-0.2270836,-0.1932469,-0.9545097
-0.2270836,-0.1932469,-0.9545097
-0.2270836,-0.1932469,-0.9545097
